ts,game_id,game_name,igdb_id,viewers,channels
2026-09-10T00:37:14Z,32982,Grand Theft Auto V,1020,266734,3245
2026-09-10T00:37:14Z,509658,Just Chatting,,212444,4882
2026-09-10T00:37:14Z,21779,League of Legends,115,61324,2175
2026-09-10T00:37:14Z,508455,Valheim,104967,57464,1519
2026-09-10T00:37:14Z,516575,VALORANT,126459,53012,2507
2026-09-10T00:37:14Z,491931,Escape from Tarkov,15536,49036,579
2026-09-10T00:37:14Z,33214,Fortnite,1905,35440,4649
2026-09-10T00:37:14Z,29452,Virtual Casino,45517,37673,35
2026-09-10T00:37:14Z,27471,Minecraft,135400,33689,2579
2026-09-10T00:37:14Z,32399,Counter-Strike,,32590,1208
2026-09-10T00:37:14Z,1357871551,The Blood of Dawnwalker,282831,29848,654
2026-09-10T00:37:14Z,29595,Dota 2,,29493,633
2026-09-10T00:37:14Z,515025,Overwatch,125174,26880,1467
2026-09-10T00:37:14Z,902998079,Halloween: The Game,362096,27040,1734
2026-09-10T00:37:14Z,1264310518,Marvel Rivals,294041,25067,1870
2026-09-10T00:37:14Z,491487,Dead by Daylight,18866,20607,2264
2026-09-10T00:37:14Z,23020,ROBLOX,17269,20547,1830
2026-09-10T00:37:14Z,18122,World of Warcraft,123,17527,1159
2026-09-10T00:37:14Z,1494,Call of Duty,621,17500,1760
2026-09-10T00:37:14Z,498566,Slots,,17122,80
2026-09-10T00:37:14Z,512710,Call of Duty: Warzone,131800,16901,1806
2026-09-10T00:37:14Z,13332,Pokémon FireRed/LeafGreen,,15648,103
2026-09-10T00:37:14Z,511224,Apex Legends,114795,15542,1665
2026-09-10T00:37:14Z,30921,Rocket League,11198,15426,898
2026-09-10T00:37:14Z,26936,Music,,15493,534
2026-09-10T00:37:14Z,509672,IRL,,16864,430
2026-09-10T00:37:14Z,602040818,NBA 2K27,408823,12776,2487
2026-09-10T00:37:14Z,499973,Always On,,12920,428
2026-09-10T00:37:14Z,460630,Rainbow Six Siege,7360,12642,1605
2026-09-10T00:37:14Z,1702520304,Path of Exile 2,125642,12871,365
2026-09-10T00:37:14Z,31339,Project Zomboid,3189,12798,348
2026-09-10T00:37:14Z,513143,Teamfight Tactics,120176,13369,220
2026-09-10T00:37:14Z,19619,Tibia,9596,12128,677
2026-09-10T00:37:14Z,512953,ELDEN RING,119133,11785,569
2026-09-10T00:37:14Z,509659,ASMR,,11380,175
2026-09-10T00:37:14Z,2132205352,Deadlock,301298,11014,419
2026-09-10T00:37:14Z,624536948,EA Sports FC 26,353848,10221,791
2026-09-10T00:37:14Z,10609,Pokémon Emerald Version,1517,9298,45
2026-09-10T00:37:14Z,921298138,BOMBANANA!,404342,8594,127
2026-09-10T00:37:14Z,327598602,Onimusha: Way of the Sword,325602,9768,742
2026-09-10T00:37:14Z,509660,Art,,7788,626
2026-09-10T00:37:14Z,1669431183,DJs,,8580,196
2026-09-10T00:37:14Z,27284,Retro,,8314,343
2026-09-10T00:37:14Z,24241,FINAL FANTASY XIV ONLINE,386,7659,737
2026-09-10T00:37:14Z,509663,Special Events,,8124,136
2026-09-10T00:37:14Z,499003,VRChat,33615,8202,157
2026-09-10T00:37:14Z,766571430,HELLDIVERS 2,250616,7892,388
2026-09-10T00:37:14Z,464339927,ARC Raiders,185258,6846,776
2026-09-10T00:37:14Z,417528,Albion Online,19698,7140,135
2026-09-10T00:37:14Z,569194045,Supermarket Chaos,407502,5421,6
2026-09-10T00:37:14Z,459931,Old School RuneScape,79824,5269,219
2026-09-10T00:37:14Z,138585,Hearthstone,1279,5239,95
2026-09-10T00:37:14Z,27546,World of Tanks,1184,5287,101
2026-09-10T00:37:14Z,1982936547,Pokémon,266836,4888,64
2026-09-10T00:37:14Z,66082,Games + Demos,,5009,935
2026-09-10T00:37:14Z,66170,Warframe,2903,5115,465
