ts,game_id,game_name,igdb_id,viewers,channels
2026-09-26T01:04:01Z,509658,Just Chatting,,278301,4910
2026-09-26T01:04:01Z,32982,Grand Theft Auto V,1020,166573,3178
2026-09-26T01:04:01Z,18122,World of Warcraft,123,75656,1588
2026-09-26T01:04:01Z,263490,Rust,3277,58330,363
2026-09-26T01:04:01Z,21779,League of Legends,115,56784,2268
2026-09-26T01:04:01Z,508455,Valheim,104967,55642,808
2026-09-26T01:04:01Z,1338428218,CONTROL Resonant,225582,54735,770
2026-09-26T01:04:01Z,27471,Minecraft,135400,52691,3039
2026-09-26T01:04:01Z,516575,VALORANT,126459,45249,3021
2026-09-26T01:04:01Z,33214,Fortnite,1905,41520,5257
2026-09-26T01:04:01Z,743893402,WARDOGS,388285,36647,1894
2026-09-26T01:04:01Z,32399,Counter-Strike,,34682,1516
2026-09-26T01:04:01Z,1264310518,Marvel Rivals,294041,31648,1947
2026-09-26T01:04:01Z,123184772,EA Sports FC 27,408819,33531,1666
2026-09-26T01:04:01Z,515025,Overwatch,125174,24319,1836
2026-09-26T01:04:01Z,509672,IRL,,26154,536
2026-09-26T01:04:01Z,491487,Dead by Daylight,18866,21759,2093
2026-09-26T01:04:01Z,29595,Dota 2,,23921,683
2026-09-26T01:04:01Z,1960720223,SILENT HILL: townfall,222342,22724,908
2026-09-26T01:04:01Z,513143,Teamfight Tactics,120176,19373,176
2026-09-26T01:04:01Z,2106755390,Graveyard Keeper II,397817,17187,188
2026-09-26T01:04:01Z,512710,Call of Duty: Warzone,131800,16325,2098
2026-09-26T01:04:01Z,498566,Slots,,16625,101
2026-09-26T01:04:01Z,26936,Music,,16295,627
2026-09-26T01:04:01Z,511224,Apex Legends,114795,14696,1859
2026-09-26T01:04:01Z,30921,Rocket League,11198,14221,1297
2026-09-26T01:04:01Z,602040818,NBA 2K27,408823,13049,2181
2026-09-26T01:04:01Z,499973,Always On,,13151,452
2026-09-26T01:04:01Z,1267582829,Aniimo,348202,11984,1299
2026-09-26T01:04:01Z,19619,Tibia,9596,12269,724
2026-09-26T01:04:01Z,29452,Virtual Casino,45517,6636,26
2026-09-26T01:04:01Z,509659,ASMR,,10992,161
2026-09-26T01:04:01Z,498592,I'm Only Sleeping,71001,4645,165
2026-09-26T01:04:01Z,518203,Sports,,9747,143
2026-09-26T01:04:01Z,1669431183,DJs,,8966,280
2026-09-26T01:04:01Z,493057,PUBG: BATTLEGROUNDS,27789,8450,552
2026-09-26T01:04:01Z,509660,Art,,8133,546
2026-09-26T01:04:01Z,460630,Rainbow Six Siege,7360,7993,1576
2026-09-26T01:04:01Z,27546,World of Tanks,1184,8128,88
2026-09-26T01:04:01Z,380978759,Escape from Tarkov: Arena,203610,8223,82
2026-09-26T01:04:01Z,499003,VRChat,33615,8388,257
2026-09-26T01:04:01Z,2132205352,Deadlock,301298,8162,395
2026-09-26T01:04:01Z,521885043,Infinite Craft,285172,8041,27
2026-09-26T01:04:01Z,464339927,ARC Raiders,185258,7724,882
2026-09-26T01:04:01Z,27284,Retro,,7370,366
2026-09-26T01:04:01Z,491931,Escape from Tarkov,15536,7609,444
2026-09-26T01:04:01Z,1469308723,Software and Game Development,,7648,130
2026-09-26T01:04:01Z,66170,Warframe,2903,7290,437
2026-09-26T01:04:01Z,513181,Genshin Impact,119277,7005,422
2026-09-26T01:04:01Z,509663,Special Events,,7210,166
2026-09-26T01:04:01Z,417892,Z1: Battle Royale,18094,6355,127
2026-09-26T01:04:01Z,779192097,Fire Emblem: Fortune's Weave,366896,6403,339
2026-09-26T01:04:01Z,670138298,Madden NFL 27,400379,6256,960
2026-09-26T01:04:01Z,31339,Project Zomboid,3189,6364,284
2026-09-26T01:04:01Z,401587136,Arena Breakout: Infinite,298915,5611,301
2026-09-26T01:04:01Z,23020,ROBLOX,17269,5253,1947
2026-09-26T01:04:01Z,11557,The Legend of Zelda: Ocarina of Time,1029,5969,120
2026-09-26T01:04:01Z,461221,MARVEL Contest of Champions,28107,5801,14
2026-09-26T01:04:01Z,515024,Diablo IV,125165,5562,354
2026-09-26T01:04:01Z,386821,Black Desert,6292,5516,210
2026-09-26T01:04:01Z,66082,Games + Demos,,4967,941
2026-09-26T01:04:01Z,24241,FINAL FANTASY XIV ONLINE,386,4862,527
2026-09-26T01:04:01Z,488190,Poker,,4719,78
2026-09-26T01:04:01Z,417528,Albion Online,19698,4743,122
2026-09-26T01:04:01Z,1282866981,Delta Force,262186,4219,213
2026-09-26T01:04:01Z,272263131,"Animals, Aquariums, and Zoos",,4695,294
2026-09-26T01:04:01Z,459931,Old School RuneScape,79824,4484,210
2026-09-26T01:04:01Z,902998079,Halloween: The Game,362096,4409,510
2026-09-26T01:04:01Z,771448419,AION 2,117297,4446,47
2026-09-26T01:04:01Z,138585,Hearthstone,1279,4503,78
2026-09-26T01:04:01Z,65632,DayZ,2117,4234,236
2026-09-26T01:04:01Z,499634,Crypto,76760,4233,109
2026-09-26T01:04:01Z,512953,ELDEN RING,119133,4080,436
2026-09-26T01:04:01Z,2012789438,Call of Duty: Black Ops 7,348220,3850,643
2026-09-26T01:04:01Z,13332,Pokémon FireRed/LeafGreen,,4036,95
2026-09-26T01:04:01Z,509511,Marbles on Stream,116975,3804,127
2026-09-26T01:04:01Z,4667,Bully: Scholarship Edition,6574,3775,4
2026-09-26T01:04:01Z,500188,Hunt: Showdown 1896,7291,3494,279
2026-09-26T01:04:01Z,497057,Destiny 2,25657,3444,383
2026-09-26T01:04:01Z,1441208453,Once Human,204538,3553,552
2026-09-26T01:04:01Z,55453844,Street Fighter 6,191692,3494,132
2026-09-26T01:04:01Z,504463,Tom Clancy's The Division 2,90099,3535,186
2026-09-26T01:04:01Z,493959,Red Dead Redemption II,25076,3354,420
2026-09-26T01:04:01Z,1050003477,The Elder Scrolls V: Skyrim - Special Edition,19457,717,90
2026-09-26T01:04:01Z,512980,Fall Guys,119313,3138,89
2026-09-26T01:04:01Z,71375,Star Citizen,1595,3334,106
2026-09-26T01:04:01Z,1763263,nanos world,152927,3374,35
2026-09-26T01:04:01Z,417752,Talk Shows & Podcasts,,2884,371
2026-09-26T01:04:01Z,502829,R2 Online: Reign of Revolution,91269,3007,19
2026-09-26T01:04:01Z,13389,Age of Empires II,,2877,49
2026-09-26T01:04:01Z,168648543,Battlefield 6,317407,2938,519
2026-09-26T01:04:01Z,116747788,"Pools, Hot Tubs, and Beaches",,3147,65
2026-09-26T01:04:01Z,1702520304,Path of Exile 2,125642,2753,144
2026-09-26T01:04:01Z,1494,Call of Duty,621,2349,1891
2026-09-26T01:04:01Z,1987896617,Dune: Awakening,214394,2583,375
2026-09-26T01:04:01Z,518184,Phasmophobia,132516,2512,350
2026-09-26T01:04:01Z,1413930024,Active Matter,322158,2556,123
2026-09-26T01:04:01Z,1294658629,R.E.P.O.,332780,2484,319
2026-09-26T01:04:01Z,509577,Dungeons & Dragons,,2554,171
2026-09-26T01:04:01Z,460951,Geometry Dash,11642,2542,184
2026-09-26T06:08:06Z,509658,Just Chatting,,146039,3394
2026-09-26T06:08:06Z,32982,Grand Theft Auto V,1020,83153,1661
2026-09-26T06:08:06Z,66082,Games + Demos,,53594,713
2026-09-26T06:08:06Z,263490,Rust,3277,45452,265
2026-09-26T06:08:06Z,18122,World of Warcraft,123,42733,938
2026-09-26T06:08:06Z,21779,League of Legends,115,40917,1639
2026-09-26T06:08:06Z,33214,Fortnite,1905,36531,3796
2026-09-26T06:08:06Z,516575,VALORANT,126459,33791,2375
2026-09-26T06:08:06Z,509672,IRL,,32165,477
2026-09-26T06:08:06Z,309493,Happy Wheels,28227,30252,6
2026-09-26T06:08:06Z,511224,Apex Legends,114795,25373,1995
2026-09-26T06:08:06Z,515025,Overwatch,125174,20063,1559
2026-09-26T06:08:06Z,743893402,WARDOGS,388285,20444,1328
2026-09-26T06:08:06Z,1264310518,Marvel Rivals,294041,17622,1591
2026-09-26T06:08:06Z,32399,Counter-Strike,,17243,758
2026-09-26T06:08:06Z,491487,Dead by Daylight,18866,15766,1435
2026-09-26T06:08:06Z,27471,Minecraft,135400,14966,1901
2026-09-26T06:08:06Z,1960720223,SILENT HILL: townfall,222342,15296,570
2026-09-26T06:08:06Z,602040818,NBA 2K27,408823,14799,1759
2026-09-26T06:08:06Z,2106755390,Graveyard Keeper II,397817,15139,112
2026-09-26T06:08:06Z,499973,Always On,,14944,453
2026-09-26T06:08:06Z,29595,Dota 2,,12873,485
2026-09-26T06:08:06Z,498592,I'm Only Sleeping,71001,12922,256
2026-09-26T06:08:06Z,511399,Super Mario Maker 2,115276,12144,11
2026-09-26T06:08:06Z,123184772,EA Sports FC 27,408819,11834,795
2026-09-26T06:08:06Z,1267582829,Aniimo,348202,10979,796
2026-09-26T06:08:06Z,1338428218,CONTROL Resonant,225582,11020,495
2026-09-26T06:08:06Z,509659,ASMR,,10796,170
2026-09-26T06:08:06Z,512710,Call of Duty: Warzone,131800,9766,1426
2026-09-26T06:08:06Z,380978759,Escape from Tarkov: Arena,203610,8400,70
2026-09-26T06:08:06Z,508455,Valheim,104967,9551,572
2026-09-26T06:08:06Z,498566,Slots,,9432,65
2026-09-26T06:08:06Z,513143,Teamfight Tactics,120176,9276,136
2026-09-26T06:08:06Z,27284,Retro,,8290,254
2026-09-26T06:08:06Z,55453844,Street Fighter 6,191692,7793,181
2026-09-26T06:08:06Z,509663,Special Events,,7554,102
2026-09-26T06:08:06Z,30921,Rocket League,11198,6899,834
2026-09-26T06:08:06Z,27546,World of Tanks,1184,6921,77
2026-09-26T06:08:06Z,509660,Art,,6630,379
2026-09-26T06:08:06Z,908,Jeopardy!,3396,6816,27
2026-09-26T06:08:06Z,138585,Hearthstone,1279,6750,70
2026-09-26T06:08:06Z,464339927,ARC Raiders,185258,5426,727
2026-09-26T06:08:06Z,1669431183,DJs,,6049,180
2026-09-26T06:08:06Z,670138298,Madden NFL 27,400379,5595,443
2026-09-26T06:08:06Z,2113043143,PAYDAY 3,27270,4487,33
2026-09-26T06:08:06Z,779192097,Fire Emblem: Fortune's Weave,366896,5480,286
2026-09-26T06:08:06Z,1089655891,PERSONA3 RELOAD,252647,5638,36
2026-09-26T06:08:06Z,26936,Music,,5018,478
2026-09-26T06:08:06Z,491931,Escape from Tarkov,15536,5161,355
2026-09-26T06:08:06Z,2132205352,Deadlock,301298,4916,295
2026-09-26T06:08:06Z,29452,Virtual Casino,45517,4898,21
2026-09-26T06:08:06Z,515024,Diablo IV,125165,4852,230
2026-09-26T06:08:06Z,386821,Black Desert,6292,4885,156
2026-09-26T06:08:06Z,24241,FINAL FANTASY XIV ONLINE,386,4649,332
2026-09-26T06:08:06Z,19619,Tibia,9596,4577,311
2026-09-26T06:08:06Z,460630,Rainbow Six Siege,7360,4440,1047
2026-09-26T06:08:06Z,1413930024,Active Matter,322158,4549,113
2026-09-26T06:08:06Z,23020,ROBLOX,17269,3930,1430
2026-09-26T06:08:06Z,66170,Warframe,2903,4136,284
2026-09-26T06:08:06Z,493057,PUBG: BATTLEGROUNDS,27789,3911,369
2026-09-26T06:08:06Z,272263131,"Animals, Aquariums, and Zoos",,3954,278
2026-09-26T06:08:06Z,417892,Z1: Battle Royale,18094,4209,78
2026-09-26T06:08:06Z,1357871551,The Blood of Dawnwalker,282831,3717,112
2026-09-26T06:08:06Z,461221,MARVEL Contest of Champions,28107,3612,16
2026-09-26T06:08:06Z,1282866981,Delta Force,262186,3634,164
2026-09-26T06:08:06Z,513181,Genshin Impact,119277,3270,394
2026-09-26T06:08:06Z,512953,ELDEN RING,119133,3428,286
2026-09-26T06:08:06Z,502829,R2 Online: Reign of Revolution,91269,3372,39
2026-09-26T06:08:06Z,499003,VRChat,33615,3297,127
2026-09-26T06:08:06Z,1441208453,Once Human,204538,3115,386
2026-09-26T06:08:06Z,902998079,Halloween: The Game,362096,3218,396
2026-09-26T06:08:06Z,401587136,Arena Breakout: Infinite,298915,3098,202
2026-09-26T06:08:06Z,493959,Red Dead Redemption II,25076,3064,212
2026-09-26T06:08:06Z,417528,Albion Online,19698,3075,86
2026-09-26T06:08:06Z,2012789438,Call of Duty: Black Ops 7,348220,2762,532
2026-09-26T06:08:06Z,459931,Old School RuneScape,79824,2701,135
2026-09-26T06:08:06Z,11557,The Legend of Zelda: Ocarina of Time,1029,2658,59
2026-09-26T06:08:06Z,499634,Crypto,76760,2645,83
2026-09-26T06:08:06Z,509511,Marbles on Stream,116975,2522,82
2026-09-26T06:08:06Z,504463,Tom Clancy's The Division 2,90099,2365,129
2026-09-26T06:08:06Z,31339,Project Zomboid,3189,2280,174
2026-09-26T06:08:06Z,13332,Pokémon FireRed/LeafGreen,,2287,56
2026-09-26T06:08:06Z,1435206302,Slay the Spire II,296831,2327,46
2026-09-26T06:08:06Z,497057,Destiny 2,25657,2154,270
2026-09-26T06:08:06Z,460160,Fatal Frame: Maiden of Black Water,51149,0,0
2026-09-26T06:08:06Z,327598602,Onimusha: Way of the Sword,325602,2078,199
2026-09-26T06:08:06Z,1494,Call of Duty,621,2001,1293
2026-09-26T06:08:06Z,1987896617,Dune: Awakening,214394,2030,295
2026-09-26T06:08:06Z,518184,Phasmophobia,132516,1545,213
2026-09-26T06:08:06Z,676802825,Big Walk,279624,2006,69
2026-09-26T06:08:06Z,1288749557,Dressmaker,365465,1971,70
2026-09-26T06:08:06Z,1913410799,Total War: WARHAMMER III,143114,1929,59
2026-09-26T06:08:06Z,500188,Hunt: Showdown 1896,7291,1341,169
2026-09-26T06:08:06Z,1286077738,Monster Hunter Wilds,279661,1759,245
2026-09-26T06:08:06Z,2124871354,RuneScape: Dragonwilds,337712,1745,368
2026-09-26T06:08:06Z,1181639856,Survival Log,390415,1655,1
2026-09-26T06:08:06Z,497480,Detroit: Become Human,14362,1666,19
2026-09-26T06:08:06Z,1173887206,"Warhammer 40,000: Rogue Trader",203259,1953,7
2026-09-26T06:08:06Z,75101830,Marvel's Wolverine,168667,1615,335
2026-09-26T06:08:06Z,491168,Clash Royale,15707,1615,24
2026-09-26T11:19:07Z,516575,VALORANT,126459,183821,2008
2026-09-26T11:19:07Z,509658,Just Chatting,,167469,2778
2026-09-26T11:19:07Z,29595,Dota 2,,104177,1036
2026-09-26T11:19:07Z,509672,IRL,,76213,552
2026-09-26T11:19:07Z,511224,Apex Legends,114795,62911,1366
2026-09-26T11:19:07Z,18122,World of Warcraft,123,63205,955
2026-09-26T11:19:07Z,32399,Counter-Strike,,52640,1190
2026-09-26T11:19:07Z,21779,League of Legends,115,51469,1182
