ts,game_id,langs_top10
2026-09-17T02:31:03Z,509658,en:171815|es:26701|pt:20201|fr:10051|ru:7641|zh:6271|ja:2755|it:1822|de:1352|ko:1258
2026-09-17T02:31:03Z,32982,en:119719|pt:6862|fr:4427|es:1241|de:1147|ru:507|it:157|other:92|el:32|th:31
2026-09-17T02:31:03Z,743893402,en:72330|pt:5759|de:2146|ru:1997|fr:1011|es:906|ja:661|zh:643|ar:218|fi:132
2026-09-17T02:31:03Z,21779,en:31631|es:7720|pt:5455|ja:1818|de:1604|fr:1524|zh:1500|ru:334|pl:133|th:119
2026-09-17T02:31:03Z,509672,en:33396|pt:3246|ru:2223|th:602|de:512|zh:318|es:235|ja:215|it:201|fr:93
2026-09-17T02:31:03Z,1267582829,en:17888|es:5481|pt:3656|de:2853|ja:1501|fr:1343|zh:274|ru:207|th:119|ar:86
2026-09-17T02:31:03Z,516575,en:14000|pt:6153|es:5027|ja:2766|zh:2492|fr:667|de:429|ru:339|ar:245|it:136
2026-09-17T02:31:03Z,33214,en:20386|es:4342|pt:1301|de:301|fr:195|it:158|other:63|ja:54|ru:34|ar:12
2026-09-17T02:31:03Z,18122,en:28568|es:1695|pt:862|ru:496|de:419|fr:140|zh:138|it:36|bg:6|sv:5
2026-09-17T02:31:03Z,75101830,en:23644|fr:5037|es:2320|zh:681|pt:242|ru:168|de:161|pl:90|it:27|ar:6
2026-09-17T02:31:03Z,498566,de:12353|en:9341|es:6006|pt:2486|fr:623|fi:275|no:268|el:17|th:2|nl:1
2026-09-17T02:31:03Z,515025,en:21975|ja:3381|es:2395|pt:697|ar:287|fr:112|ru:97|zh:61|it:18|de:16
2026-09-17T02:31:03Z,1264310518,en:24704|es:1571|pt:865|ar:209|fr:151|zh:43|ja:37|ru:31|it:4|other:3
2026-09-17T02:31:03Z,123184772,en:9290|de:9007|fr:3454|es:1106|it:927|ar:87|pt:41|cs:27|ru:11
2026-09-17T02:31:03Z,27471,en:16581|es:3626|pt:1752|de:251|ja:91|ru:74|fr:67|ar:31|th:19|no:14
2026-09-17T02:31:03Z,32399,en:7213|pt:6828|ru:2967|es:1847|de:425|pl:305|fr:94|el:91|fi:77|other:52
2026-09-17T02:31:03Z,491487,en:13553|es:3003|pt:2236|ja:665|fr:370|de:191|ru:160|zh:151|ar:121|it:28
2026-09-17T02:31:03Z,29595,ru:14023|en:3688|pt:3132|es:261|uk:69|tl:3|th:2|other:2|fr:2|vi:1
2026-09-17T02:31:03Z,508455,en:13467|pt:1738|es:1014|de:294|fr:157|ru:128|uk:48|ja:36|zh:8|cs:6
2026-09-17T02:31:03Z,511224,en:11566|ja:1575|es:815|zh:788|ru:100|pt:86|fr:78|ar:39|no:36|it:35
2026-09-17T02:31:03Z,30921,en:7108|es:5543|fr:1762|pt:443|ar:288|de:99|ru:14|it:9|ja:8|other:1
2026-09-17T02:31:03Z,499973,en:11069|fr:1108|de:1035|es:898|ja:217|other:61|pt:33|bg:10|ru:5|nl:1
2026-09-17T02:31:03Z,602040818,en:13554|es:26|de:16|fr:15|pt:10|other:2|ar:2|tr:1|asl:1
